IBOV - Carteira do Dia 01/07/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.358.542.894;3,243;
ASAI3;ASSAI;ON      NM;88.180.251;0,333;
AZUL4;AZUL;PN      N2;327.262.616;0,626;
BTOW3;B2W DIGITAL;ON      NM;201.802.882;0,583;
B3SA3;B3;ON  EDJ NM;6.119.434.194;4,487;
BIDI11;BANCO INTER;UNT     N2;235.350.939;0,798;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,676;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,373;
BBDC3;BRADESCO;ON      N1;1.253.093.907;1,194;
BBDC4;BRADESCO;PN      N1;4.261.649.634;4,780;
BRAP4;BRADESPAR;PN      N1;222.604.507;0,722;
BBAS3;BRASIL;ON      NM;1.283.197.221;1,797;
BRKM5;BRASKEM;PNA     N1;264.640.575;0,687;
BRFS3;BRF SA;ON      NM;811.759.800;0,967;
BPAC11;BTGP BANCO;UNT EB  N2;1.041.983.176;1,386;
CRFB3;CARREFOUR BR;ON      NM;391.758.726;0,359;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,654;
CMIG4;CEMIG;PN      N1;1.081.211.185;0,572;
HGTX3;CIA HERING;ON      NM;126.186.408;0,188;
CIEL3;CIELO;ON      NM;1.112.196.638;0,176;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,349;
CPLE6;COPEL;PNB     N1;570.829.074;0,148;
CSAN3;COSAN;ON      NM;1.169.237.744;1,221;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,220;
CVCB3;CVC BRASIL;ON  ES  NM;225.955.651;0,273;
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,286;
ECOR3;ECORODOVIAS;ON      NM;172.602.770;0,090;
ELET3;ELETROBRAS;ON      N1;358.018.408;0,674;
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,458;
EMBR3;EMBRAER;ON      NM;736.143.105;0,606;
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,178;
ENGI11;ENERGISA;UNT     N2;250.679.709;0,509;
ENEV3;ENEVA;ON      NM;1.248.545.726;0,924;
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;0,435;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;1,092;
EZTC3;EZTEC;ON      NM;95.756.217;0,130;
FLRY3;FLEURY;ON      NM;303.800.430;0,343;
GGBR4;GERDAU;PN      N1;995.903.643;1,286;
GOAU4;GERDAU MET;PN      N1;693.699.918;0,418;
GOLL4;GOL;PN      N2;178.123.292;0,178;
NTCO3;GRUPO NATURA;ON      NM;841.433.075;2,082;
HAPV3;HAPVIDA;ON      NM;1.265.256.490;0,850;
HYPE3;HYPERA;ON      NM;410.147.968;0,616;
IGTA3;IGUATEMI;ON      NM;85.796.919;0,151;
GNDI3;INTERMEDICA;ON      NM;593.438.080;2,197;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,316;
ITSA4;ITAUSA;PN      N1;4.515.538.171;2,195;
ITUB4;ITAUUNIBANCO;PN  ED  N1;4.770.095.054;6,194;
JBSS3;JBS;ON      NM;1.388.025.890;1,761;
JHSF3;JHSF PART;ON      NM;288.832.602;0,092;
KLBN11;KLABIN S/A;UNT     N2;922.294.338;1,059;
RENT3;LOCALIZA;ON  EJ  NM;593.841.434;1,657;
LCAM3;LOCAMERICA;ON  EJ  NM;323.763.077;0,387;
LWSA3;LOCAWEB;ON      NM;427.663.748;0,504;
LAME4;LOJAS AMERIC;PN      N1;847.010.651;0,797;
LREN3;LOJAS RENNER;ON  EJ  NM;887.417.914;1,711;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;2,461;
MRFG3;MARFRIG;ON      NM;368.864.634;0,307;
BEEF3;MINERVA;ON      NM;240.482.896;0,098;
MRVE3;MRV;ON      NM;293.978.672;0,209;
MULT3;MULTIPLAN;ON      N2;245.888.754;0,252;
PCAR3;P.ACUCAR-CBD;ON      NM;156.928.631;0,264;
PETR3;PETROBRAS;ON      N2;3.620.580.434;4,781;
PETR4;PETROBRAS;PN      N2;4.566.457.037;5,859;
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,355;
PRIO3;PETRORIO;ON      NM;807.220.415;0,686;
QUAL3;QUALICORP;ON      NM;283.467.789;0,357;
RADL3;RAIADROGASIL;ON  EJ  NM;1.072.645.150;1,155;
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;1,017;
SBSP3;SABESP;ON      NM;339.999.111;0,542;
SANB11;SANTANDER BR;UNT;355.642.348;0,628;
CSNA3;SID NACIONAL;ON;642.398.790;1,232;
SULA11;SUL AMERICA;UNT     N2;284.566.116;0,432;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;1,890;
TAEE11;TAESA;UNT     N2;218.568.274;0,352;
VIVT3;TELEF BRASIL;ON  EJ;444.219.852;0,807;
TIMS3;TIM;ON  EJ  NM;808.485.985;0,406;
TOTS3;TOTVS;ON      NM;480.228.410;0,788;
UGPA3;ULTRAPAR;ON  ES  NM;1.085.987.426;0,871;
USIM5;USIMINAS;PNA     N1;513.796.208;0,428;
VALE3;VALE;ON  ED  NM;2.456.887.211;12,130;
VVAR3;VIAVAREJO;ON      NM;1.595.508.601;1,098;
WEGE3;WEG;ON  EJ  NM;1.482.296.002;2,177;
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,430;
Quantidade Teórica Total;;;84.725.906.817;100,000
Redutor;;;18.090.607,71215889
