IFIX - Carteira do Dia 01/07/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCP11;FII ABC IMOB;CI  ER;12.203.833;0,877;
BPFF11;FII ABSOLUTO;CI  ER;4.492.326;0,356;
ALZR11;FII ALIANZA;CI;6.479.483;0,796;
BARI11;FII BARIGUI;CI  ER;4.634.191;0,502;
BBPO11;FII BB PRGII;CI  ER;15.919.690;1,903;
BBFI11B;FII BB PROGR;CI  ER  MB;130.000;0,351;
BCFF11;FII BC FFII;CI;25.186.378;2,055;
BRCR11;FII BC FUND;CI;26.638.202;2,262;
BCIA11;FII BCIA;CI  ER;3.719.038;0,364;
BCRI11;FII BEES CRI;CI  ER;6.300.000;0,733;
BRCO11;FII BRESCO;CI  ER;14.778.781;1,545;
BZLI11;FII BRREALTY;CI;38.004.865;0,621;
BTCR11;FII BTG CRI;CI;4.810.097;0,469;
BTLG11;FII BTLG;CI;14.854.883;1,656;
CPFF11;FII CAP REIT;CI;3.973.771;0,340;
CPTS11;FII CAPI SEC;CI;24.687.225;2,593;
HGCR11;FII CSHG CRI;CI  ERS;12.372.450;1,330;
HGFF11;FII CSHG FOF;CI  ER;2.863.597;0,242;
HGLG11;FII CSHG LOG;CI  ER;18.436.967;3,216;
HGRU11;FII CSHG URB;CI  ER;18.406.458;2,240;
HGPO11;FII CSHGPRIM;CI  ER;1.753.057;0,398;
DEVA11;FII DEVANT;CI;10.187.196;1,121;
VRTA11;FII FATOR VE;CI  ER;10.000.000;1,138;
GTWR11;FII G TOWERS;CI  ER;12.000.000;1,259;
FIGS11;FII GEN SHOP;CI  ER;2.850.000;0,184;
GGRC11;FII GGRCOVEP;CI;7.758.429;0,946;
HABT11;FII HABIT II;CI  ER;5.412.107;0,695;
HCTR11;FII HECTARE;CI;13.836.247;1,925;
HGBS11;FII HEDGEBS;CI  ER;10.000.000;2,105;
HGRE11;FII HG REAL;CI  ER;11.817.767;1,629;
HTMX11;FII HOTEL MX;CI;1.257.022;0,134;
HSLG11;FII HSI LOG;CI  ER;12.660.067;1,316;
HSML11;FII HSI MALL;CI  ER;15.780.613;1,472;
HFOF11;FII HTOPFOF3;CI  ER;22.975.000;2,273;
FIIB11;FII INDL BR;CI  ER;685.000;0,344;
IRDM11;FII IRIDIUM;CI;21.000.000;2,774;
JSRE11;FII JS REAL;CI  ER;20.767.328;1,937;
KNRI11;FII KINEA;CI  ER;24.157.121;3,492;
KNHY11;FII KINEA HY;CI  ER;10.690.843;1,238;
KNIP11;FII KINEA IP;CI  ER;47.134.764;5,225;
KNCR11;FII KINEA RI;CI  ER;39.097.087;3,672;
KNSC11;FII KINEA SC;CI  ER;5.797.109;0,616;
KFOF11;FII KINEAFOF;CI  ER;4.533.315;0,405;
MALL11;FII MALLS BP;CI  ER;7.560.351;0,752;
MCCI11;FII MAUA;CI;8.927.401;0,949;
MXRF11;FII MAXI REN;CI  ER;226.039.663;2,388;
MFII11;FII MERITO I;CI  ER;4.146.900;0,463;
MGFF11;FII MOGNO;CI;9.050.620;0,752;
OUJP11;FII OURI JPP;CI  ER;3.252.384;0,330;
OULG11;FII OURILOG;CI;2.481.284;0,177;
PATL11;FII PATR LOG;CI  ER;4.991.535;0,433;
PATC11;FII PATRIA;CI  ER;3.477.434;0,242;
PLCR11;FII PLURAL R;CI  ER;2.109.169;0,204;
PORD11;FII POLO CRI;CI  ER;3.728.375;0,396;
QAGR11;FII QUASAR A;CI;5.040.000;0,274;
RFOF11;FII RB CFOF;CI  ER;1.078.164;0,092;
RBRD11;FII RB II;CI;1.851.786;0,117;
RBRP11;FII RBR PROP;CI;12.179.186;1,020;
RBRF11;FII RBRALPHA;CI;13.680.770;1,178;
RBRR11;FII RBRHGRAD;CI;10.161.437;1,049;
RECR11;FII REC RECE;CI;18.522.070;1,999;
RECT11;FII REC REND;CI;8.179.347;0,660;
RBED11;FII RIOB ED;CI  ER;2.021.621;0,298;
RBFF11;FII RIOB FF;CI  ER;3.749.215;0,253;
RCRB11;FII RIOB RC;CI;3.690.695;0,537;
RBVA11;FII RIOB VA;CI  ER;11.588.199;1,356;
RNGO11;FII RIONEGRO;CI  ER;2.676.000;0,172;
RZTR11;FII RIZA TX;CI  ER;10.025.534;1,016;
FLMA11;FII S F LIMA;CI;1.380.670;0,200;
SADI11;FII SANT PAP;CI  ER;3.180.207;0,282;
SARE11;FII SANT REN;CI  ER;5.354.535;0,549;
SDIL11;FII SDI LOG;CI  ER;6.395.050;0,612;
SPTW11;FII SP DOWNT;CI  ER;1.798.000;0,098;
TEPP11;FII TEL PROP;CI  ER;4.221.967;0,345;
TGAR11;FII TG ATIVO;CI  ER;10.621.774;1,456;
TORD11;FII TORDE EI;CI;35.051.354;0,372;
TRXF11;FII TRX REAL;CI  ER;5.641.522;0,608;
URPR11;FII URCA REN;CI  ER;1.660.428;0,217;
VGIP11;FII VALORAIP;CI;7.524.790;0,789;
VGIR11;FII VALREIII;CI;4.506.414;0,423;
CVBI11;FII VBI CRI;CI;9.256.925;0,985;
LVBI11;FII VBI LOG;CI  ER;11.775.177;1,300;
PVBI11;FII VBI PRI;CI  ER;9.720.000;0,956;
RVBI11;FII VBI REIT;CI;1.440.000;0,131;
VCJR11;FII VECTIS;CI  ER;11.603.880;1,149;
VINO11;FII VINC COR;CI  ER;12.673.868;0,785;
VISC11;FII VINCI SC;CI  ER;14.270.995;1,594;
VILG11;FII VINCILOG;CI  ER;14.997.396;1,705;
VTLT11;FII VOT LOG;CI  ER;2.115.000;0,227;
XPCI11;FII XP CRED;CI  ER;6.567.011;0,685;
XPIN11;FII XP INDL;CI  ES;6.586.568;0,694;
XPLG11;FII XP LOG;CI  ER;27.101.061;2,985;
XPCM11;FII XP MACAE;CI  ER;2.414.570;0,105;
XPML11;FII XP MALLS;CI;18.207.683;1,970;
XPPR11;FII XP PROP;CI  ER;7.316.171;0,499;
XPSF11;FII XP SELEC;CI  ER;4.330.214;0,423;
Quantidade Teórica Total;;;1.198.964.677;100,000
Redutor;;;34.631.168,30386979
